source_id,raw_label,mapping_status,review_or_exclusion_reason,normalized_label,count
f1-image-classification-updated,Renault F1 car,excluded,duplicate_image_hash,,3
f1-image-classification-updated,Williams F1 car,excluded,duplicate_image_hash,,3
f1-image-classification-updated,Racing Point F1 car,excluded,duplicate_image_hash,,2
f1-image-classification-updated,Red Bull Racing F1 car,excluded,duplicate_image_hash,,2
f1-image-classification-updated,Ferrari F1 car,excluded,duplicate_image_hash,,1
f1-image-classification-updated,McLaren F1 car,excluded,duplicate_image_hash,,1
stanford-car-body-type-data,Sedan,accepted,explicit_sedan_label,SEDAN,1904
stanford-car-body-type-data,SUV,accepted,explicit_suv_label,SUV,1436
stanford-car-body-type-data,Coupe,review,ambiguous_coupe,,1084
stanford-car-body-type-data,Convertible,review,ambiguous_convertible,,1036
stanford-car-body-type-data,Cab,review,plain_cab_needs_manual_pickup_review,,717
stanford-car-body-type-data,Other,excluded,non_target_or_unknown_label,,609
stanford-car-body-type-data,Hatchback,accepted,explicit_hatchback_label,HATCHBACK,554
stanford-car-body-type-data,Wagon,accepted,explicit_wagon_label,STATION WAGON,290
stanford-car-body-type-data,Van,accepted,explicit_van_or_minivan_label,VAN,252
stanford-car-body-type-data,Minivan,accepted,explicit_van_or_minivan_label,VAN,250
stanford-car-body-type-data,Coupe,excluded,duplicate_image_hash,,4
stanford-car-body-type-data,Sedan,excluded,duplicate_image_hash,,3
stanford-car-body-type-data,Cab,excluded,duplicate_image_hash,,2
stanford-car-body-type-data,SUV,excluded,duplicate_image_hash,,1
stanford-car-body-type-data,Van,excluded,duplicate_image_hash,,1
stanford-car-body-type-data,Wagon,excluded,duplicate_image_hash,,1
stanford-car-dataset-by-classes-folder,GMC Savana Van 2012,excluded,duplicate_image_hash,,70
stanford-car-dataset-by-classes-folder,GMC Savana Van 2012,accepted,explicit_van_or_minivan_label,VAN,66
stanford-car-dataset-by-classes-folder,Chrysler 300 SRT-8 2010,excluded,duplicate_image_hash,,49
stanford-car-dataset-by-classes-folder,Chrysler 300 SRT-8 2010,excluded,non_target_or_unknown_label,,48
stanford-car-dataset-by-classes-folder,Mercedes-Benz 300-Class Convertible 1993,excluded,duplicate_image_hash,,48
stanford-car-dataset-by-classes-folder,Mercedes-Benz 300-Class Convertible 1993,review,ambiguous_convertible,,48
stanford-car-dataset-by-classes-folder,Mitsubishi Lancer Sedan 2012,excluded,duplicate_image_hash,,48
stanford-car-dataset-by-classes-folder,Audi V8 Sedan 1994,excluded,duplicate_image_hash,,47
stanford-car-dataset-by-classes-folder,Bentley Continental GT Coupe 2007,excluded,duplicate_image_hash,,47
stanford-car-dataset-by-classes-folder,Chevrolet Corvette ZR1 2012,excluded,duplicate_image_hash,,47
stanford-car-dataset-by-classes-folder,Dodge Durango SUV 2007,excluded,duplicate_image_hash,,47
stanford-car-dataset-by-classes-folder,Jaguar XK XKR 2012,excluded,duplicate_image_hash,,47
stanford-car-dataset-by-classes-folder,Mitsubishi Lancer Sedan 2012,accepted,explicit_sedan_label,SEDAN,47
stanford-car-dataset-by-classes-folder,Audi S6 Sedan 2011,accepted,explicit_sedan_label,SEDAN,46
stanford-car-dataset-by-classes-folder,Audi S6 Sedan 2011,excluded,duplicate_image_hash,,46
stanford-car-dataset-by-classes-folder,Chevrolet Corvette ZR1 2012,excluded,non_target_or_unknown_label,,46
stanford-car-dataset-by-classes-folder,Eagle Talon Hatchback 1998,accepted,explicit_hatchback_label,HATCHBACK,46
stanford-car-dataset-by-classes-folder,Eagle Talon Hatchback 1998,excluded,duplicate_image_hash,,46
stanford-car-dataset-by-classes-folder,Ford GT Coupe 2006,excluded,duplicate_image_hash,,46
stanford-car-dataset-by-classes-folder,Jaguar XK XKR 2012,excluded,non_target_or_unknown_label,,46
stanford-car-dataset-by-classes-folder,Mercedes-Benz C-Class Sedan 2012,excluded,duplicate_image_hash,,46
stanford-car-dataset-by-classes-folder,Nissan 240SX Coupe 1998,excluded,duplicate_image_hash,,46
stanford-car-dataset-by-classes-folder,Nissan 240SX Coupe 1998,review,ambiguous_coupe,,46
stanford-car-dataset-by-classes-folder,Suzuki Kizashi Sedan 2012,accepted,explicit_sedan_label,SEDAN,46
stanford-car-dataset-by-classes-folder,Suzuki Kizashi Sedan 2012,excluded,duplicate_image_hash,,46
stanford-car-dataset-by-classes-folder,Volkswagen Golf Hatchback 1991,accepted,explicit_hatchback_label,HATCHBACK,46
stanford-car-dataset-by-classes-folder,Volkswagen Golf Hatchback 1991,excluded,duplicate_image_hash,,46
stanford-car-dataset-by-classes-folder,Volvo 240 Sedan 1993,excluded,duplicate_image_hash,,46
stanford-car-dataset-by-classes-folder,AM General Hummer SUV 2000,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,Acura Integra Type R 2001,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,Aston Martin V8 Vantage Convertible 2012,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,Aston Martin V8 Vantage Convertible 2012,review,ambiguous_convertible,,45
stanford-car-dataset-by-classes-folder,Audi S4 Sedan 2007,accepted,explicit_sedan_label,SEDAN,45
stanford-car-dataset-by-classes-folder,Audi S4 Sedan 2007,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,BMW M3 Coupe 2012,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,Bentley Continental Flying Spur Sedan 2007,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,Bentley Continental GT Coupe 2007,review,ambiguous_coupe,,45
stanford-car-dataset-by-classes-folder,Cadillac Escalade EXT Crew Cab 2007,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,Chevrolet Avalanche Crew Cab 2012,accepted,pickup_cab_style_label,PICK UP,45
stanford-car-dataset-by-classes-folder,Chevrolet Avalanche Crew Cab 2012,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,Chevrolet Camaro Convertible 2012,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,Chevrolet Malibu Sedan 2007,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,Chevrolet Monte Carlo Coupe 2007,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,Chevrolet Monte Carlo Coupe 2007,review,ambiguous_coupe,,45
stanford-car-dataset-by-classes-folder,Chevrolet Silverado 1500 Regular Cab 2012,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,Chrysler PT Cruiser Convertible 2008,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,Chrysler PT Cruiser Convertible 2008,review,ambiguous_convertible,,45
stanford-car-dataset-by-classes-folder,Daewoo Nubira Wagon 2002,accepted,explicit_wagon_label,STATION WAGON,45
stanford-car-dataset-by-classes-folder,Daewoo Nubira Wagon 2002,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,Dodge Caliber Wagon 2012,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,Ford Expedition EL SUV 2009,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,Ford F-150 Regular Cab 2007,accepted,pickup_cab_style_label,PICK UP,45
stanford-car-dataset-by-classes-folder,Ford F-150 Regular Cab 2007,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,Ford Focus Sedan 2007,accepted,explicit_sedan_label,SEDAN,45
stanford-car-dataset-by-classes-folder,Ford Focus Sedan 2007,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,Ford GT Coupe 2006,review,ambiguous_coupe,,45
stanford-car-dataset-by-classes-folder,Ford Mustang Convertible 2007,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,GMC Acadia SUV 2012,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,Geo Metro Convertible 1993,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,Jeep Grand Cherokee SUV 2012,accepted,explicit_suv_label,SUV,45
stanford-car-dataset-by-classes-folder,Jeep Grand Cherokee SUV 2012,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,Jeep Liberty SUV 2012,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,Lamborghini Diablo Coupe 2001,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,Mercedes-Benz C-Class Sedan 2012,accepted,explicit_sedan_label,SEDAN,45
stanford-car-dataset-by-classes-folder,Mercedes-Benz S-Class Sedan 2012,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,Rolls-Royce Phantom Sedan 2012,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,Spyker C8 Convertible 2009,excluded,duplicate_image_hash,,45
stanford-car-dataset-by-classes-folder,Spyker C8 Convertible 2009,review,ambiguous_convertible,,45
stanford-car-dataset-by-classes-folder,Volvo 240 Sedan 1993,accepted,explicit_sedan_label,SEDAN,45
stanford-car-dataset-by-classes-folder,AM General Hummer SUV 2000,accepted,explicit_suv_label,SUV,44
stanford-car-dataset-by-classes-folder,Acura Integra Type R 2001,excluded,non_target_or_unknown_label,,44
stanford-car-dataset-by-classes-folder,Audi TTS Coupe 2012,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,BMW 6 Series Convertible 2007,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,BMW 6 Series Convertible 2007,review,ambiguous_convertible,,44
stanford-car-dataset-by-classes-folder,BMW M3 Coupe 2012,review,ambiguous_coupe,,44
stanford-car-dataset-by-classes-folder,Bentley Continental Flying Spur Sedan 2007,accepted,explicit_sedan_label,SEDAN,44
stanford-car-dataset-by-classes-folder,Bugatti Veyron 16.4 Coupe 2009,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,Cadillac Escalade EXT Crew Cab 2007,accepted,pickup_cab_style_label,PICK UP,44
stanford-car-dataset-by-classes-folder,Chevrolet Camaro Convertible 2012,review,ambiguous_convertible,,44
stanford-car-dataset-by-classes-folder,Chevrolet Malibu Sedan 2007,accepted,explicit_sedan_label,SEDAN,44
stanford-car-dataset-by-classes-folder,Chevrolet Silverado 1500 Extended Cab 2012,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,Chevrolet Sonic Sedan 2012,accepted,explicit_sedan_label,SEDAN,44
stanford-car-dataset-by-classes-folder,Chevrolet Sonic Sedan 2012,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,Chevrolet Traverse SUV 2012,accepted,explicit_suv_label,SUV,44
stanford-car-dataset-by-classes-folder,Chevrolet Traverse SUV 2012,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,Chrysler Aspen SUV 2009,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,Dodge Caravan Minivan 1997,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,Dodge Durango SUV 2007,accepted,explicit_suv_label,SUV,44
stanford-car-dataset-by-classes-folder,Dodge Durango SUV 2012,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,Dodge Journey SUV 2012,accepted,explicit_suv_label,SUV,44
stanford-car-dataset-by-classes-folder,Dodge Journey SUV 2012,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,Dodge Ram Pickup 3500 Quad Cab 2009,accepted,explicit_pickup_label,PICK UP,44
stanford-car-dataset-by-classes-folder,Dodge Ram Pickup 3500 Quad Cab 2009,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,Fisker Karma Sedan 2012,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,Ford Expedition EL SUV 2009,accepted,explicit_suv_label,SUV,44
stanford-car-dataset-by-classes-folder,Ford Freestar Minivan 2007,accepted,explicit_van_or_minivan_label,VAN,44
stanford-car-dataset-by-classes-folder,Ford Freestar Minivan 2007,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,Ford Mustang Convertible 2007,review,ambiguous_convertible,,44
stanford-car-dataset-by-classes-folder,GMC Acadia SUV 2012,accepted,explicit_suv_label,SUV,44
stanford-car-dataset-by-classes-folder,Geo Metro Convertible 1993,review,ambiguous_convertible,,44
stanford-car-dataset-by-classes-folder,HUMMER H2 SUT Crew Cab 2009,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,Hyundai Genesis Sedan 2012,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,Hyundai Tucson SUV 2012,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,Jeep Liberty SUV 2012,accepted,explicit_suv_label,SUV,44
stanford-car-dataset-by-classes-folder,Jeep Patriot SUV 2012,accepted,explicit_suv_label,SUV,44
stanford-car-dataset-by-classes-folder,Jeep Patriot SUV 2012,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,Lamborghini Aventador Coupe 2012,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,Lamborghini Diablo Coupe 2001,review,ambiguous_coupe,,44
stanford-car-dataset-by-classes-folder,McLaren MP4-12C Coupe 2012,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,McLaren MP4-12C Coupe 2012,review,ambiguous_coupe,,44
stanford-car-dataset-by-classes-folder,Mercedes-Benz E-Class Sedan 2012,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,Mercedes-Benz S-Class Sedan 2012,accepted,explicit_sedan_label,SEDAN,44
stanford-car-dataset-by-classes-folder,Nissan Juke Hatchback 2012,accepted,explicit_hatchback_label,HATCHBACK,44
stanford-car-dataset-by-classes-folder,Nissan Juke Hatchback 2012,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,Plymouth Neon Coupe 1999,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,Plymouth Neon Coupe 1999,review,ambiguous_coupe,,44
stanford-car-dataset-by-classes-folder,Porsche Panamera Sedan 2012,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,Spyker C8 Coupe 2009,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,Toyota Camry Sedan 2012,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,Toyota Corolla Sedan 2012,excluded,duplicate_image_hash,,44
stanford-car-dataset-by-classes-folder,Acura TL Sedan 2012,accepted,explicit_sedan_label,SEDAN,43
stanford-car-dataset-by-classes-folder,Acura TL Sedan 2012,excluded,duplicate_image_hash,,43
stanford-car-dataset-by-classes-folder,Audi 100 Wagon 1994,excluded,duplicate_image_hash,,43
stanford-car-dataset-by-classes-folder,Audi R8 Coupe 2012,excluded,duplicate_image_hash,,43
stanford-car-dataset-by-classes-folder,Audi R8 Coupe 2012,review,ambiguous_coupe,,43
stanford-car-dataset-by-classes-folder,Audi S5 Coupe 2012,excluded,duplicate_image_hash,,43
stanford-car-dataset-by-classes-folder,BMW 3 Series Sedan 2012,excluded,duplicate_image_hash,,43
stanford-car-dataset-by-classes-folder,Bugatti Veyron 16.4 Coupe 2009,review,ambiguous_coupe,,43
stanford-car-dataset-by-classes-folder,Buick Rainier SUV 2007,excluded,duplicate_image_hash,,43
stanford-car-dataset-by-classes-folder,Cadillac CTS-V Sedan 2012,accepted,explicit_sedan_label,SEDAN,43
stanford-car-dataset-by-classes-folder,Cadillac CTS-V Sedan 2012,excluded,duplicate_image_hash,,43
stanford-car-dataset-by-classes-folder,Chevrolet Impala Sedan 2007,accepted,explicit_sedan_label,SEDAN,43
stanford-car-dataset-by-classes-folder,Chevrolet Impala Sedan 2007,excluded,duplicate_image_hash,,43
stanford-car-dataset-by-classes-folder,Chevrolet Silverado 1500 Classic Extended Cab 2007,excluded,duplicate_image_hash,,43
stanford-car-dataset-by-classes-folder,Chevrolet Silverado 1500 Extended Cab 2012,accepted,pickup_cab_style_label,PICK UP,43
stanford-car-dataset-by-classes-folder,Chevrolet Silverado 1500 Regular Cab 2012,accepted,pickup_cab_style_label,PICK UP,43
stanford-car-dataset-by-classes-folder,Chrysler Aspen SUV 2009,accepted,explicit_suv_label,SUV,43
stanford-car-dataset-by-classes-folder,Chrysler Crossfire Convertible 2008,excluded,duplicate_image_hash,,43
stanford-car-dataset-by-classes-folder,Chrysler Crossfire Convertible 2008,review,ambiguous_convertible,,43
stanford-car-dataset-by-classes-folder,Dodge Caliber Wagon 2007,excluded,duplicate_image_hash,,43
stanford-car-dataset-by-classes-folder,Dodge Caravan Minivan 1997,accepted,explicit_van_or_minivan_label,VAN,43
stanford-car-dataset-by-classes-folder,Dodge Durango SUV 2012,accepted,explicit_suv_label,SUV,43
stanford-car-dataset-by-classes-folder,Dodge Ram Pickup 3500 Crew Cab 2010,excluded,duplicate_image_hash,,43
stanford-car-dataset-by-classes-folder,Ferrari 458 Italia Coupe 2012,excluded,duplicate_image_hash,,43
stanford-car-dataset-by-classes-folder,Fisker Karma Sedan 2012,accepted,explicit_sedan_label,SEDAN,43
stanford-car-dataset-by-classes-folder,Ford Edge SUV 2012,accepted,explicit_suv_label,SUV,43
stanford-car-dataset-by-classes-folder,Ford Edge SUV 2012,excluded,duplicate_image_hash,,43
stanford-car-dataset-by-classes-folder,Ford F-150 Regular Cab 2012,excluded,duplicate_image_hash,,43
stanford-car-dataset-by-classes-folder,Ford Fiesta Sedan 2012,excluded,duplicate_image_hash,,43
stanford-car-dataset-by-classes-folder,GMC Yukon Hybrid SUV 2012,excluded,duplicate_image_hash,,43
stanford-car-dataset-by-classes-folder,HUMMER H2 SUT Crew Cab 2009,accepted,explicit_suv_label,SUV,43
stanford-car-dataset-by-classes-folder,Hyundai Elantra Touring Hatchback 2012,excluded,duplicate_image_hash,,43
stanford-car-dataset-by-classes-folder,Hyundai Genesis Sedan 2012,accepted,explicit_sedan_label,SEDAN,43
stanford-car-dataset-by-classes-folder,Hyundai Tucson SUV 2012,accepted,explicit_suv_label,SUV,43
stanford-car-dataset-by-classes-folder,Jeep Compass SUV 2012,excluded,duplicate_image_hash,,43
stanford-car-dataset-by-classes-folder,Jeep Wrangler SUV 2012,accepted,explicit_suv_label,SUV,43
stanford-car-dataset-by-classes-folder,Jeep Wrangler SUV 2012,excluded,duplicate_image_hash,,43
stanford-car-dataset-by-classes-folder,Lamborghini Aventador Coupe 2012,review,ambiguous_coupe,,43
stanford-car-dataset-by-classes-folder,Land Rover LR2 SUV 2012,excluded,duplicate_image_hash,,43
stanford-car-dataset-by-classes-folder,Land Rover Range Rover SUV 2012,excluded,duplicate_image_hash,,43
stanford-car-dataset-by-classes-folder,Mercedes-Benz E-Class Sedan 2012,accepted,explicit_sedan_label,SEDAN,43
stanford-car-dataset-by-classes-folder,Porsche Panamera Sedan 2012,accepted,explicit_sedan_label,SEDAN,43
stanford-car-dataset-by-classes-folder,Rolls-Royce Phantom Sedan 2012,accepted,explicit_sedan_label,SEDAN,43
stanford-car-dataset-by-classes-folder,Toyota Camry Sedan 2012,accepted,explicit_sedan_label,SEDAN,43
stanford-car-dataset-by-classes-folder,Toyota Corolla Sedan 2012,accepted,explicit_sedan_label,SEDAN,43
stanford-car-dataset-by-classes-folder,Volkswagen Beetle Hatchback 2012,excluded,duplicate_image_hash,,43
stanford-car-dataset-by-classes-folder,Volkswagen Golf Hatchback 2012,accepted,explicit_hatchback_label,HATCHBACK,43
stanford-car-dataset-by-classes-folder,Volkswagen Golf Hatchback 2012,excluded,duplicate_image_hash,,43
stanford-car-dataset-by-classes-folder,Volvo XC90 SUV 2007,accepted,explicit_suv_label,SUV,43
stanford-car-dataset-by-classes-folder,Volvo XC90 SUV 2007,excluded,duplicate_image_hash,,43
stanford-car-dataset-by-classes-folder,Acura TL Type-S 2008,excluded,duplicate_image_hash,,42
stanford-car-dataset-by-classes-folder,Acura TL Type-S 2008,excluded,non_target_or_unknown_label,,42
stanford-car-dataset-by-classes-folder,Audi 100 Sedan 1994,excluded,duplicate_image_hash,,42
stanford-car-dataset-by-classes-folder,Audi 100 Wagon 1994,accepted,explicit_wagon_label,STATION WAGON,42
stanford-car-dataset-by-classes-folder,Audi A5 Coupe 2012,excluded,duplicate_image_hash,,42
stanford-car-dataset-by-classes-folder,Audi S5 Convertible 2012,excluded,duplicate_image_hash,,42
stanford-car-dataset-by-classes-folder,Audi S5 Convertible 2012,review,ambiguous_convertible,,42
stanford-car-dataset-by-classes-folder,Audi S5 Coupe 2012,review,ambiguous_coupe,,42
stanford-car-dataset-by-classes-folder,BMW 3 Series Sedan 2012,accepted,explicit_sedan_label,SEDAN,42
stanford-car-dataset-by-classes-folder,BMW 3 Series Wagon 2012,excluded,duplicate_image_hash,,42
stanford-car-dataset-by-classes-folder,BMW M6 Convertible 2010,excluded,duplicate_image_hash,,42
stanford-car-dataset-by-classes-folder,BMW X5 SUV 2007,excluded,duplicate_image_hash,,42
stanford-car-dataset-by-classes-folder,BMW X6 SUV 2012,accepted,explicit_suv_label,SUV,42
stanford-car-dataset-by-classes-folder,BMW X6 SUV 2012,excluded,duplicate_image_hash,,42
stanford-car-dataset-by-classes-folder,Buick Enclave SUV 2012,accepted,explicit_suv_label,SUV,42
stanford-car-dataset-by-classes-folder,Buick Enclave SUV 2012,excluded,duplicate_image_hash,,42
stanford-car-dataset-by-classes-folder,Buick Rainier SUV 2007,accepted,explicit_suv_label,SUV,42
stanford-car-dataset-by-classes-folder,Chevrolet Cobalt SS 2010,excluded,duplicate_image_hash,,42
stanford-car-dataset-by-classes-folder,Chevrolet Silverado 1500 Classic Extended Cab 2007,accepted,pickup_cab_style_label,PICK UP,42
stanford-car-dataset-by-classes-folder,Dodge Charger SRT-8 2009,excluded,duplicate_image_hash,,42
stanford-car-dataset-by-classes-folder,Dodge Charger SRT-8 2009,excluded,non_target_or_unknown_label,,42
stanford-car-dataset-by-classes-folder,Dodge Ram Pickup 3500 Crew Cab 2010,accepted,explicit_pickup_label,PICK UP,42
stanford-car-dataset-by-classes-folder,Ferrari 458 Italia Coupe 2012,review,ambiguous_coupe,,42
stanford-car-dataset-by-classes-folder,Ferrari FF Coupe 2012,excluded,duplicate_image_hash,,42
stanford-car-dataset-by-classes-folder,Ferrari FF Coupe 2012,review,ambiguous_coupe,,42
stanford-car-dataset-by-classes-folder,Ford F-150 Regular Cab 2012,accepted,pickup_cab_style_label,PICK UP,42
stanford-car-dataset-by-classes-folder,Ford F-450 Super Duty Crew Cab 2012,excluded,duplicate_image_hash,,42
stanford-car-dataset-by-classes-folder,Ford Fiesta Sedan 2012,accepted,explicit_sedan_label,SEDAN,42
stanford-car-dataset-by-classes-folder,Ford Ranger SuperCab 2011,excluded,duplicate_image_hash,,42
stanford-car-dataset-by-classes-folder,Ford Ranger SuperCab 2011,excluded,non_target_or_unknown_label,,42
stanford-car-dataset-by-classes-folder,GMC Terrain SUV 2012,excluded,duplicate_image_hash,,42
stanford-car-dataset-by-classes-folder,GMC Yukon Hybrid SUV 2012,accepted,explicit_suv_label,SUV,42
stanford-car-dataset-by-classes-folder,Honda Odyssey Minivan 2012,accepted,explicit_van_or_minivan_label,VAN,42
stanford-car-dataset-by-classes-folder,Honda Odyssey Minivan 2012,excluded,duplicate_image_hash,,42
stanford-car-dataset-by-classes-folder,Hyundai Azera Sedan 2012,accepted,explicit_sedan_label,SEDAN,42
stanford-car-dataset-by-classes-folder,Hyundai Azera Sedan 2012,excluded,duplicate_image_hash,,42
stanford-car-dataset-by-classes-folder,Hyundai Elantra Sedan 2007,accepted,explicit_sedan_label,SEDAN,42
stanford-car-dataset-by-classes-folder,Hyundai Elantra Sedan 2007,excluded,duplicate_image_hash,,42
stanford-car-dataset-by-classes-folder,Hyundai Elantra Touring Hatchback 2012,accepted,explicit_hatchback_label,HATCHBACK,42
stanford-car-dataset-by-classes-folder,Hyundai Santa Fe SUV 2012,accepted,explicit_suv_label,SUV,42
stanford-car-dataset-by-classes-folder,Hyundai Santa Fe SUV 2012,excluded,duplicate_image_hash,,42
stanford-car-dataset-by-classes-folder,Hyundai Veracruz SUV 2012,accepted,explicit_suv_label,SUV,42
